name,label
15970.jpg,Shirts-Men-Topwear-Apparel
39386.jpg,Jeans-Men-Bottomwear-Apparel
59263.jpg,Watches-Women-Watches-Accessories
21379.jpg,Track Pants-Men-Bottomwear-Apparel
53759.jpg,Tshirts-Men-Topwear-Apparel
1855.jpg,Tshirts-Men-Topwear-Apparel
30805.jpg,Shirts-Men-Topwear-Apparel
26960.jpg,Shirts-Women-Topwear-Apparel
29114.jpg,Socks-Men-Socks-Accessories
30039.jpg,Watches-Men-Watches-Accessories
9204.jpg,Casual Shoes-Men-Shoes-Footwear
48123.jpg,Belts-Women-Belts-Accessories
18653.jpg,Flip Flops-Men-Flip Flops-Footwear
47957.jpg,Handbags-Women-Bags-Accessories
12369.jpg,Shirts-Men-Topwear-Apparel
29928.jpg,Watches-Men-Watches-Accessories
42419.jpg,Tops-Girls-Topwear-Apparel
51832.jpg,Bra-Women-Innerwear-Apparel
47359.jpg,Handbags-Women-Bags-Accessories
17429.jpg,Watches-Men-Watches-Accessories
12967.jpg,Sandals-Men-Sandal-Footwear
13089.jpg,Sweatshirts-Men-Topwear-Apparel
18461.jpg,Deodorant-Men-Fragrance-Personal Care
9036.jpg,Formal Shoes-Men-Shoes-Footwear
7990.jpg,Tshirts-Men-Topwear-Apparel
56019.jpg,Lipstick-Women-Lips-Personal Care
21977.jpg,Handbags-Women-Bags-Accessories
37812.jpg,Shirts-Men-Topwear-Apparel
4729.jpg,Tshirts-Boys-Topwear-Apparel
56825.jpg,Shirts-Men-Topwear-Apparel
39988.jpg,Casual Shoes-Men-Shoes-Footwear
59051.jpg,Flats-Women-Shoes-Footwear
20099.jpg,Kurtas-Women-Topwear-Apparel
58183.jpg,Handbags-Women-Bags-Accessories
29742.jpg,Handbags-Women-Bags-Accessories
51658.jpg,Watches-Women-Watches-Accessories
3954.jpg,Tshirts-Women-Topwear-Apparel
18839.jpg,Belts-Men-Belts-Accessories
2886.jpg,Flats-Women-Shoes-Footwear
23278.jpg,Watches-Men-Watches-Accessories
28690.jpg,Kurtas-Women-Topwear-Apparel
3168.jpg,Sports Shoes-Men-Shoes-Footwear
18005.jpg,Shorts-Men-Bottomwear-Apparel
17871.jpg,Briefs-Men-Innerwear-Apparel
9452.jpg,Shirts-Men-Topwear-Apparel
38402.jpg,Belts-Women-Belts-Accessories
44984.jpg,Watches-Women-Watches-Accessories
10268.jpg,Formal Shoes-Men-Shoes-Footwear
45856.jpg,Kurtas-Women-Topwear-Apparel
32138.jpg,Briefs-Men-Innerwear-Apparel
59435.jpg,Formal Shoes-Men-Shoes-Footwear
5891.jpg,Tshirts-Men-Topwear-Apparel
38630.jpg,Tshirts-Women-Topwear-Apparel
4943.jpg,Shirts-Men-Topwear-Apparel
11188.jpg,Watches-Men-Watches-Accessories
10866.jpg,Tshirts-Men-Topwear-Apparel
59607.jpg,Sarees-Women-Saree-Apparel
15528.jpg,Tshirts-Men-Topwear-Apparel
45258.jpg,Watches-Men-Watches-Accessories
42841.jpg,Handbags-Women-Bags-Accessories
22198.jpg,Casual Shoes-Men-Shoes-Footwear
29570.jpg,Casual Shoes-Men-Shoes-Footwear
43993.jpg,Perfume and Body Mist-Women-Fragrance-Personal Care
6628.jpg,Sports Shoes-Men-Shoes-Footwear
54924.jpg,Shorts-Men-Bottomwear-Apparel
26538.jpg,Casual Shoes-Men-Shoes-Footwear
35913.jpg,Handbags-Women-Bags-Accessories
49495.jpg,Casual Shoes-Men-Shoes-Footwear
9660.jpg,Shirts-Men-Topwear-Apparel
2288.jpg,Tshirts-Women-Topwear-Apparel
23876.jpg,Sweatshirts-Men-Topwear-Apparel
18237.jpg,Tshirts-Men-Topwear-Apparel
54118.jpg,Heels-Women-Shoes-Footwear
2872.jpg,Heels-Women-Shoes-Footwear
49653.jpg,Tops-Women-Topwear-Apparel
16957.jpg,Sunglasses-Men-Eyewear-Accessories
19123.jpg,Flip Flops-Men-Flip Flops-Footwear
13419.jpg,Tshirts-Men-Topwear-Apparel
17885.jpg,Innerwear Vests-Men-Innerwear-Apparel
43369.jpg,Flip Flops-Men-Flip Flops-Footwear
48781.jpg,Pendant-Women-Jewellery-Accessories
44970.jpg,Watches-Men-Watches-Accessories
56489.jpg,Nail Polish-Women-Nails-Personal Care
39524.jpg,Laptop Bag-Unisex-Bags-Accessories
33822.jpg,Sports Shoes-Men-Shoes-Footwear
58513.jpg,Tops-Women-Topwear-Apparel
25947.jpg,Scarves-Women-Scarves-Accessories
5865.jpg,Tshirts-Men-Topwear-Apparel
39716.jpg,Dresses-Women-Dress-Apparel
25349.jpg,Briefs-Men-Innerwear-Apparel
11940.jpg,Sandals-Men-Sandal-Footwear
